iter	Passed	Remaining
541	19874	23908
542	19912	23872
543	19948	23835
544	19985	23799
545	20024	23765
546	20063	23731
547	20101	23696
548	20142	23664
549	20177	23625
550	20211	23586
551	20250	23552
552	20285	23514
553	20317	23471
554	20349	23429
555	20387	23394
556	20423	23356
557	20457	23317
558	20493	23280
559	20534	23248
560	20569	23208
561	20610	23177
562	20648	23142
563	20690	23111
564	20723	23071
565	20760	23034
566	20799	23000
567	20837	22964
568	20874	22928
569	20913	22895
570	20949	22856
571	20987	22821
572	21024	22785
573	21062	22750
574	21098	22713
575	21137	22678
576	21175	22643
577	21215	22610
578	21252	22574
579	21296	22544
580	21330	22505
581	21365	22466
582	21403	22431
583	21438	22392
584	21472	22353
585	21508	22316
586	21550	22284
587	21588	22249
588	21625	22212
589	21661	22175
590	21704	22144
591	21739	22106
592	21773	22066
593	21807	22027
594	21845	21992
595	21881	21955
596	21917	21917
597	21952	21879
598	21993	21846
599	22034	21813
600	22067	21773
601	22108	21740
602	22144	21703
603	22179	21665
604	22213	21625
605	22249	21588
606	22286	21552
607	22321	21513
608	22358	21477
609	22395	21441
610	22434	21405
611	22469	21368
612	22506	21331
613	22545	21296
614	22580	21259
615	22618	21222
616	22657	21188
617	22695	21153
618	22731	21115
619	22769	21079
620	22808	21045
621	22847	21010
622	22887	20977
623	22922	20938
624	22963	20905
625	22999	20868
626	23038	20833
627	23078	20799
628	23114	20762
629	23153	20727
630	23192	20693
631	23230	20657
632	23269	20622
633	23310	20589
634	23344	20550
635	23382	20514
636	23412	20472
637	23451	20437
638	23490	20402
639	23528	20366
640	23565	20330
641	23602	20294
642	23637	20255
643	23674	20218
644	23714	20184
645	23754	20150
646	23793	20115
647	23831	20080
648	23872	20046
649	23913	20013
650	23950	19976
651	23993	19945
652	24034	19912
653	24069	19873
654	24105	19836
655	24142	19799
656	24179	19762
657	24217	19726
658	24255	19691
659	24298	19659
660	24338	19625
661	24376	19589
662	24418	19556
663	24455	19519
