iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false
166	0.9559988343	0.1458418409	0.9559988343	0.9192546584
167	0.9562190828	0.1456916499	0.9562190828	0.91977401131168	0.9558887481	0.1456568499	0.9558887481	0.91899520181169	0.9559750836	0.1455015174	0.9559750836	0.91878172591170	0.9558023222	0.1453031417	0.9558023222	0.91920903917171	0.9553620401	0.1434730459	0.9553620401	0.91817155717172	0.9577138524	0.1422441109	0.9577138524	0.9224674517173	0.9574075625	0.1422303014	0.9574075625	0.92216246817174	0.9577992903	0.1420628874	0.9577992903	0.92225049417175	0.9577992903	0.1420323365	0.9577992903	0.92225049417176	0.9573828908	0.1400746972	0.9573828908	0.92168504317177	0.9572726211	0.1400693434	0.9572726211	0.92142453317178	0.9568317962	0.1395948337	0.9568317962	0.92038396317179	0.9571623768	0.1395236474	0.9571623768	0.92116417018180	0.9596843008	0.1369880049	0.9596843008	0.92503536018181	0.9604316365	0.1356299118	0.9604316365	0.9263873118182	0.9605422281	0.1355897579	0.9605422281	0.92664967183183	0.9601000144	0.1354567049	0.9601000144	0.925601184	0184	0.9597947879	0.1341839618	0.9597947879	0.925297185	0185	0.9607332167	0.1327804743	0.9607332167	0.92836186	0.186	0.9625363148	0.1298719461	0.9625363148	0.92970187	0.187	0.9640320598	0.1253738488	0.9640320598	0.93242188	0.188	0.9640899226	0.1248329117	0.9640899226	0.93340189	0.189	0.964394318	0.1243585012	0.964394318	0.933712619190	0.9646985346	0.1241938066	0.9646985346	0.93401592719191	0.9656185589	0.1221397131	0.9656185589	0.93664383519192	0.9658113761	0.1221380418	0.9658113761	0.93667193	0.193	0.9658113761	0.1221275324	0.9658113761	0.9366194	0.9194	0.9658926592	0.1221049981	0.9658926592	0.9364195	0.9195	0.9658926592	0.1219338591	0.9658926592	0.9364196	0.9196	0.9671689072	0.1210109149	0.9671689072	0.93865197	0.197	0.9677091107	0.1168392041	0.9677091107	0.941243198	0198	0.9677091107	0.1166242145	0.9677091107	0.9412439199	199	0.9691955499	0.1154589379	0.9691955499	0.94225271200200	0.9684289988	0.1150739282	0.9684289988	0.9421203201	201	0.9697548034	0.1138564232	0.9697548034	0.94360148202202	0.9697548034	0.1138544686	0.9697548034	0.94360148820203	0.9697548034	0.1138490227	0.9697548034	0.94360148872204	0.9715595601	0.1115455291	0.9715595601	0.9466743119
205	0.9724665649	0.1110054348	0.9724665649	0.9475794901
206	0.9720522888	0.1106572221	0.9720522888	0.9470065884
207	0.9723887233	0.1105236167	0.9723887233	0.9478211009
208	0.9721644077	0.1105018826	0.9721644077	0.947277937
209	0.9721205241	0.1072682143	0.9721205241	0.9480333046
210	0.9721547074	0.1066657859	0.9721547074	0.9485484335
211	0.9718518228	0.105981258	0.9718518228	0.9482461185
212	0.9718518228	0.1056131455	0.9718518228	0.9482461185
